,model,feature_type,feature_value,lambda_type,lambda_value,rmse
0,svr,M,1,normal_lambda,1,10.501868140393926
1,svr,M,1,cv_lambda,540.2620000000001,10.000628629548716
2,svr,M,2,normal_lambda,1,14.96486141745592
3,svr,M,2,cv_lambda,1000.0,10.428827696958272
4,svr,M,3,normal_lambda,1,15.83529279365615
5,svr,M,3,cv_lambda,1000.0,12.341171400220764
6,svr,M,4,normal_lambda,1,16.645192900538273
7,svr,M,4,cv_lambda,213.12300000000002,16.92035053688954
8,svr,M,5,normal_lambda,1,21.96861293548493
9,svr,M,5,cv_lambda,715.5,15.874613752635613
10,svr,M,6,normal_lambda,1,81.85754798297074
11,svr,M,6,cv_lambda,701.2,14.947021614540004
12,svr,M,7,normal_lambda,1,422.9949534427229
13,svr,M,7,cv_lambda,973.0,28.55590035015439
14,svr,M,8,normal_lambda,1,679.3364616078504
15,svr,M,8,cv_lambda,816.26,86.28103967985842
16,svr,M,9,normal_lambda,1,697.4216427430626
17,svr,M,9,cv_lambda,652.98,94.57935788360318
18,svr,M,10,normal_lambda,1,4774.982092224074
19,svr,M,10,cv_lambda,522.655,130.2504484792129
