index,model,feature_type,feature_value,lambda_type,lambda_value,rmse
0,krr,M,0.5,normal_lambda,1,6.9325071986140605
1,krr,M,0.5,cv_lambda,1,6.9325071986140605
2,krr,M,0.6,normal_lambda,1,7.058601490877926
3,krr,M,0.6,cv_lambda,5,6.777460011461417
4,krr,M,0.7,normal_lambda,1,7.204916997572734
5,krr,M,0.7,cv_lambda,5,6.840999422236985
6,krr,M,0.7999999999999999,normal_lambda,1,7.3235808779246385
7,krr,M,0.7999999999999999,cv_lambda,5,6.89765801190695
8,krr,M,0.8999999999999999,normal_lambda,1,7.276889588598089
9,krr,M,0.8999999999999999,cv_lambda,10,6.868334977101254
10,krr,M,0.9999999999999999,normal_lambda,1,6.954164785406767
11,krr,M,0.9999999999999999,cv_lambda,10,6.884969137551477
12,krr,M,1.0999999999999999,normal_lambda,1,6.568350839663005
13,krr,M,1.0999999999999999,cv_lambda,0.1,6.296117456660651
14,krr,M,1.1999999999999997,normal_lambda,1,6.35840779314842
15,krr,M,1.1999999999999997,cv_lambda,0.1,6.30426891713689
16,krr,M,1.2999999999999998,normal_lambda,1,6.284554248894616
17,krr,M,1.2999999999999998,cv_lambda,0.1,6.371162177160202
18,krr,M,1.4,normal_lambda,1,6.274449950741476
19,krr,M,1.4,cv_lambda,1,6.274449950741476
20,krr,M,1.4999999999999998,normal_lambda,1,6.3010938142257995
21,krr,M,1.4999999999999998,cv_lambda,1,6.3010938142257995
22,krr,M,1.5999999999999996,normal_lambda,1,6.33858334572478
23,krr,M,1.5999999999999996,cv_lambda,1,6.33858334572478
24,krr,M,1.6999999999999997,normal_lambda,1,6.363710913253678
25,krr,M,1.6999999999999997,cv_lambda,1,6.363710913253678
26,krr,M,1.7999999999999998,normal_lambda,1,6.368784843571633
27,krr,M,1.7999999999999998,cv_lambda,1,6.368784843571633
28,krr,M,1.8999999999999997,normal_lambda,1,6.357455423248346
29,krr,M,1.8999999999999997,cv_lambda,1,6.357455423248346
30,krr,M,1.9999999999999996,normal_lambda,1,6.337808017057517
31,krr,M,1.9999999999999996,cv_lambda,1,6.337808017057517
32,krr,M,2.0999999999999996,normal_lambda,1,6.3150928415291645
33,krr,M,2.0999999999999996,cv_lambda,5,6.33449362901428
34,krr,M,2.1999999999999997,normal_lambda,1,6.296507033454159
35,krr,M,2.1999999999999997,cv_lambda,5,6.321195034120636
36,krr,M,2.3,normal_lambda,1,6.294226457601795
37,krr,M,2.3,cv_lambda,10,6.317532507875577
38,krr,M,2.3999999999999995,normal_lambda,1,6.307404758401954
39,krr,M,2.3999999999999995,cv_lambda,100,6.332094097000219
40,krr,M,2.4999999999999996,normal_lambda,1,6.345941663435726
41,krr,M,2.4999999999999996,cv_lambda,100,6.32943265645927
42,krr,M,2.5999999999999996,normal_lambda,1,6.433347800266505
43,krr,M,2.5999999999999996,cv_lambda,100,6.322200286375665
44,krr,M,2.6999999999999993,normal_lambda,1,6.557147387327202
45,krr,M,2.6999999999999993,cv_lambda,100,6.316525184772678
46,krr,M,2.7999999999999994,normal_lambda,1,6.67121623048425
47,krr,M,2.7999999999999994,cv_lambda,1000,6.3533253369695055
48,krr,M,2.8999999999999995,normal_lambda,1,6.747774984371539
49,krr,M,2.8999999999999995,cv_lambda,1000,6.345056250656254
50,krr,M,2.9999999999999996,normal_lambda,1,6.790408944132781
51,krr,M,2.9999999999999996,cv_lambda,1000,6.337531452688728
52,krr,M,3.0999999999999996,normal_lambda,1,6.807187731776391
53,krr,M,3.0999999999999996,cv_lambda,1000,6.3357535092455555
54,krr,M,3.1999999999999993,normal_lambda,1,6.819768354358995
55,krr,M,3.1999999999999993,cv_lambda,10000,6.400570486838543
56,krr,M,3.2999999999999994,normal_lambda,1,6.8818939612986965
57,krr,M,3.2999999999999994,cv_lambda,10000,6.38298201265282
58,krr,M,3.3999999999999995,normal_lambda,1,6.993677775554031
59,krr,M,3.3999999999999995,cv_lambda,10000,6.371422048893274
60,krr,M,3.499999999999999,normal_lambda,1,7.053799602509855
61,krr,M,3.499999999999999,cv_lambda,10000,6.369050133125168
62,krr,M,3.599999999999999,normal_lambda,1,7.03804386097415
63,krr,M,3.599999999999999,cv_lambda,10000,6.377080223575924
64,krr,M,3.6999999999999993,normal_lambda,1,7.065531545099558
65,krr,M,3.6999999999999993,cv_lambda,10000,6.390221806165804
66,krr,M,3.7999999999999994,normal_lambda,1,7.22456683901812
67,krr,M,3.7999999999999994,cv_lambda,10000,6.400944504291595
68,krr,M,3.8999999999999995,normal_lambda,1,7.561608874087533
69,krr,M,3.8999999999999995,cv_lambda,10000,6.412642264242412
70,krr,M,3.999999999999999,normal_lambda,1,8.203210333583566
71,krr,M,3.999999999999999,cv_lambda,10000,6.443418229558217
72,krr,M,4.1,normal_lambda,1,9.346167845935453
73,krr,M,4.1,cv_lambda,10000,6.510591178040357
74,krr,M,4.199999999999999,normal_lambda,1,10.937374292674168
75,krr,M,4.199999999999999,cv_lambda,10000,6.61299120100178
76,krr,M,4.299999999999999,normal_lambda,1,12.593548051520518
77,krr,M,4.299999999999999,cv_lambda,10000,6.732155958832752
78,krr,M,4.399999999999999,normal_lambda,1,14.037752803231346
79,krr,M,4.399999999999999,cv_lambda,10000,6.847077689653997
80,krr,M,4.499999999999999,normal_lambda,1,15.323857663445562
81,krr,M,4.499999999999999,cv_lambda,10000,6.945223563295204
82,krr,M,4.599999999999999,normal_lambda,1,16.698476425254064
83,krr,M,4.599999999999999,cv_lambda,10000,7.025696079731879
84,krr,M,4.699999999999999,normal_lambda,1,18.207895644047717
85,krr,M,4.699999999999999,cv_lambda,10000,7.093641040885334
86,krr,M,4.799999999999999,normal_lambda,1,19.489811817927613
87,krr,M,4.799999999999999,cv_lambda,10000,7.144525384209543
88,krr,M,4.899999999999999,normal_lambda,1,20.229469891893377
89,krr,M,4.899999999999999,cv_lambda,10000,7.156802797487278
90,krr,M,4.999999999999999,normal_lambda,1,20.810227962020384
91,krr,M,4.999999999999999,cv_lambda,10000,7.126252335364583
92,krr,M,5.099999999999999,normal_lambda,1,22.132067620650616
93,krr,M,5.099999999999999,cv_lambda,10000,7.127534967421322
94,krr,M,5.199999999999999,normal_lambda,1,24.522880933128075
95,krr,M,5.199999999999999,cv_lambda,10000,7.301697316615516
96,krr,M,5.299999999999999,normal_lambda,1,28.147345212402588
97,krr,M,5.299999999999999,cv_lambda,10000,7.714713603598282
98,krr,M,5.399999999999999,normal_lambda,1,34.57339617773258
99,krr,M,5.399999999999999,cv_lambda,10000,8.279312078775186
100,krr,M,5.499999999999999,normal_lambda,1,45.83523675104855
101,krr,M,5.499999999999999,cv_lambda,10000,8.914941490694805
102,krr,M,5.599999999999999,normal_lambda,1,63.81296327270055
103,krr,M,5.599999999999999,cv_lambda,10000,9.70287089427113
104,krr,M,5.699999999999999,normal_lambda,1,90.12433566897882
105,krr,M,5.699999999999999,cv_lambda,1000,19.822764858481403
106,krr,M,5.799999999999999,normal_lambda,1,125.71983731348945
107,krr,M,5.799999999999999,cv_lambda,10000,12.393505642173094
108,krr,M,5.899999999999999,normal_lambda,1,173.1179186926254
109,krr,M,5.899999999999999,cv_lambda,10000,14.483804612011207
110,krr,M,5.999999999999999,normal_lambda,1,235.98672164972533
111,krr,M,5.999999999999999,cv_lambda,10000,17.11062837858065
112,krr,M,6.099999999999999,normal_lambda,1,324.12854987325824
113,krr,M,6.099999999999999,cv_lambda,10000,20.224440836368327
114,krr,M,6.199999999999998,normal_lambda,1,432.6123437861974
115,krr,M,6.199999999999998,cv_lambda,10000,23.5102294329705
116,krr,M,6.299999999999999,normal_lambda,1,532.9479413343659
117,krr,M,6.299999999999999,cv_lambda,10000,26.252322310660645
118,krr,M,6.399999999999999,normal_lambda,1,583.5164877001486
119,krr,M,6.399999999999999,cv_lambda,10000,27.596730849188475
120,krr,M,6.499999999999998,normal_lambda,1,556.0096512838932
121,krr,M,6.499999999999998,cv_lambda,10000,27.119530442873426
122,krr,M,6.599999999999999,normal_lambda,1,501.6434590437419
123,krr,M,6.599999999999999,cv_lambda,10000,25.261185881660957
124,krr,M,6.699999999999998,normal_lambda,1,703.8446004977957
125,krr,M,6.699999999999998,cv_lambda,10000,23.526290794968855
126,krr,M,6.799999999999999,normal_lambda,1,1287.6648227532987
127,krr,M,6.799999999999999,cv_lambda,10000,24.186857676714162
128,krr,M,6.899999999999999,normal_lambda,1,1997.9063540799616
129,krr,M,6.899999999999999,cv_lambda,10000,28.425073841378488
130,krr,M,6.999999999999998,normal_lambda,1,3037.061862877317
131,krr,M,6.999999999999998,cv_lambda,10000,34.61146883074105
132,krr,M,7.099999999999999,normal_lambda,1,4448.7690182456145
133,krr,M,7.099999999999999,cv_lambda,10000,40.18727263131532
134,krr,M,7.199999999999998,normal_lambda,1,6536.2487157672895
135,krr,M,7.199999999999998,cv_lambda,10000,45.55369451242024
136,krr,M,7.299999999999999,normal_lambda,1,7328.495171621316
137,krr,M,7.299999999999999,cv_lambda,10000,55.00287396869531
138,krr,M,7.399999999999999,normal_lambda,1,7380.272160488121
139,krr,M,7.399999999999999,cv_lambda,10000,71.67648217565771
140,krr,M,7.499999999999998,normal_lambda,1,5597.06051800735
141,krr,M,7.499999999999998,cv_lambda,10000,96.34966111716682
142,krr,M,7.599999999999999,normal_lambda,1,9013.64025519422
